geo_name,geo,time,Full-time equivalent (FTE),Head count,Percentage of active population - numerator in full-time equivalent (FTE),Percentage of active population - numerator in head count (HC)
Bedfordshire and Hertfordshire,UKH2,2012,8936.0,10364.0,0.962,1.1158
Bedfordshire and Hertfordshire,UKH2,2013,11516.0,13607.0,1.2277,1.4507
Bedfordshire and Hertfordshire,UKH2,2014,10868.0,13114.0,1.1366,1.3714
Bedfordshire and Hertfordshire,UKH2,2015,11388.0,14193.0,1.1943,1.4885
Bedfordshire and Hertfordshire,UKH2,2016,12107.0,14960.0,1.2609,1.558
"Berkshire, Buckinghamshire, and Oxfordshire",UKJ1,2012,16990.0,21222.0,1.3625,1.702
"Berkshire, Buckinghamshire, and Oxfordshire",UKJ1,2013,18690.0,23977.0,1.4964,1.9197
"Berkshire, Buckinghamshire, and Oxfordshire",UKJ1,2014,20295.0,26535.0,1.6023,2.095
"Berkshire, Buckinghamshire, and Oxfordshire",UKJ1,2015,21159.0,26565.0,1.6616,2.0861
"Berkshire, Buckinghamshire, and Oxfordshire",UKJ1,2016,21467.0,29705.0,1.6812,2.3263
Cheshire,UKD6,2012,4433.0,6002.0,0.9673,1.3096
Cheshire,UKD6,2013,4480.0,5932.0,0.983,1.3016
Cheshire,UKD6,2014,4998.0,6931.0,1.0714,1.4857
Cheshire,UKD6,2015,5233.0,7019.0,1.1573,1.5522
Cheshire,UKD6,2016,4525.0,6576.0,1.0019,1.4558
Cornwall and Isles of Scilly,UKK3,2012,367.0,456.0,0.1456,0.1808
Cornwall and Isles of Scilly,UKK3,2013,337.0,428.0,0.1333,0.1691
Cornwall and Isles of Scilly,UKK3,2014,392.0,515.0,0.1481,0.1945
Cornwall and Isles of Scilly,UKK3,2015,505.0,665.0,0.1888,0.2489
Cornwall and Isles of Scilly,UKK3,2016,512.0,666.0,0.1816,0.2362
Cumbria,UKD1,2012,1112.0,1505.0,0.4345,0.5882
Cumbria,UKD1,2013,918.0,1215.0,0.3628,0.4803
Cumbria,UKD1,2014,1407.0,1952.0,0.5762,0.7991
Cumbria,UKD1,2015,1770.0,2374.0,0.689,0.9241
Cumbria,UKD1,2016,1727.0,2509.0,0.7025,1.0207
Derbyshire and Nottinghamshire,UKF1,2012,8904.0,11158.0,0.8376,1.0496
Derbyshire and Nottinghamshire,UKF1,2013,10720.0,13739.0,1.022,1.3099
Derbyshire and Nottinghamshire,UKF1,2014,11463.0,14480.0,1.0904,1.3773
Derbyshire and Nottinghamshire,UKF1,2015,11355.0,14585.0,1.038,1.3333
Derbyshire and Nottinghamshire,UKF1,2016,12176.0,16544.0,1.0949,1.4876
Devon,UKK4,2012,715.0,888.0,0.1258,0.1562
Devon,UKK4,2013,811.0,1028.0,0.1471,0.1865
Devon,UKK4,2014,1473.0,1935.0,0.2632,0.3457
Devon,UKK4,2015,1642.0,2165.0,0.2797,0.3689
Devon,UKK4,2016,1735.0,2257.0,0.2985,0.3883
Dorset and Somerset,UKK2,2012,2242.0,2786.0,0.3605,0.4479
Dorset and Somerset,UKK2,2013,2277.0,2888.0,0.3499,0.4438
Dorset and Somerset,UKK2,2014,2558.0,3359.0,0.3905,0.5128
Dorset and Somerset,UKK2,2015,2791.0,3680.0,0.4242,0.5594
Dorset and Somerset,UKK2,2016,2884.0,3751.0,0.4525,0.5886
East Anglia,UKH1,2012,14623.0,16960.0,1.1783,1.3666
East Anglia,UKH1,2013,15536.0,18357.0,1.2613,1.4904
East Anglia,UKH1,2014,16993.0,20504.0,1.3325,1.6078
East Anglia,UKH1,2015,18162.0,22636.0,1.4294,1.7815
East Anglia,UKH1,2016,18835.0,23274.0,1.4721,1.819
East Riding and North Lincolnshire,UKE1,2012,0.0,1726.0,0.0,0.3811
