geo_nm,geo_cd,construction_construction,construction_infrastructure,manufacture_aerospace,manufacture_armaments,manufacture_automotive,manufacture_casting,manufacture_chemical,manufacture_electrical,manufacture_electronics,manufacture_food,manufacture_footwear_leather,manufacture_furniture,manufacture_instruments,manufacture_light,manufacture_machinery_tools,manufacture_materials,manufacture_metal_equipment,manufacture_oils,manufacture_paper,manufacture_pesticides,manufacture_pharmaceuticals,manufacture_plastics,manufacture_rubber,manufacture_ships,manufacture_steel_metal,manufacture_textiles,primary_fishing,primary_forestry,primary_oil_gas,primary_quarrying_concrete,services_administrative,services_agricultural,services_air_transport,services_computing,services_consumer_retail,services_content,services_creative,services_cultural,services_education_post_primary,services_education_primary,services_electronics_machinery,services_energy,services_entertainment,services_environmental,services_facilities,services_financial_legal,services_health,services_hospitality,services_house_installation,services_human_resources,services_industrial_equipment,services_insurance_finance,services_kibs,services_land_transport,services_logistics,services_motor,services_passenger,services_printing,services_professional,services_public_administration,services_publishing,services_r_&_d,services_real_state,services_recreation,services_residential,services_sea_transport,services_security,services_telecommunications,services_textiles,services_travelling,services_utilities,services_wholesale,top_20_salary_share,bottom_20_salary_share
Bedfordshire and Hertfordshire,UKH2,5355,1175,110,10,80,0,95,125,305,325,30,680,140,55,960,60,155,40,40,5,35,200,45,10,60,215,60,95,0,90,3680,855,265,9940,7960,1080,2920,80,990,1175,265,160,1030,375,1250,1850,3875,2700,4925,1675,1575,1240,8350,430,2545,3660,565,460,1715,475,455,235,4995,3115,2300,35,435,505,410,305,2580,4175,0.24182040566710836,0.2148099072469677
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,5820,1065,90,5,125,10,170,155,435,530,40,795,180,50,1105,55,185,60,35,10,50,220,50,45,105,190,85,195,5,135,5095,1395,460,16855,11045,1440,4100,225,1610,1540,395,250,1495,440,2020,2625,5090,3690,5160,1800,2035,1445,13740,275,2005,4680,755,520,2260,710,755,565,6180,4405,3115,60,515,785,475,435,3915,4385,0.2877274953841516,0.2172651569388447
Cheshire,UKD6,2000,320,55,0,75,5,115,35,110,300,15,300,40,10,605,25,90,25,25,15,10,80,30,30,25,100,35,40,0,65,2860,595,105,3595,4930,180,1435,100,490,595,125,80,545,190,665,1165,2220,1540,1505,950,700,670,4230,150,1005,1890,205,165,655,330,150,105,2340,1360,1265,30,135,195,205,175,2960,1480,0.2493857493857494,0.24119574119574116
Cornwall and Isles of Scilly,UKK3,1655,295,35,0,20,0,15,25,40,245,15,225,20,25,260,20,40,10,5,0,0,75,10,80,10,60,400,45,0,75,685,440,35,880,3655,105,625,65,210,280,90,150,350,110,300,340,975,1950,1100,120,300,185,730,65,245,1145,140,85,370,240,95,35,1220,900,840,100,70,80,85,80,540,500,0.11593304401735895,0.36309154784046294
Cumbria,UKD1,1440,140,10,0,25,0,25,20,40,325,10,230,25,10,405,5,30,10,20,0,0,35,10,15,5,40,75,90,0,75,900,445,25,700,3215,50,520,85,285,410,60,75,385,115,270,370,1035,1680,1120,100,295,435,890,90,390,1075,160,55,260,325,65,25,925,695,705,30,35,60,70,85,1155,405,0.15099223468507333,0.315358067299396
Derbyshire and Nottinghamshire,UKF1,4090,715,70,5,140,35,160,125,185,495,35,955,110,25,1390,70,235,40,55,10,25,310,70,35,105,320,60,80,5,210,2570,815,155,4595,10190,275,1970,215,1045,1305,230,125,1195,390,1150,1750,4105,3215,4135,715,1485,1015,4160,330,2115,3990,410,390,950,890,270,145,4095,2200,2990,35,275,365,460,255,2560,2765,0.16528173712622066,0.27749135682659065
Devon,UKK4,3100,495,50,0,50,5,40,50,95,490,25,445,65,25,540,25,90,20,15,0,5,115,20,115,20,130,325,140,0,75,1265,920,80,2120,6610,240,1140,100,555,660,165,100,840,220,755,905,2030,2845,2415,330,680,560,1950,110,575,2420,280,190,710,505,245,70,2570,1510,1820,120,160,150,185,165,1095,1255,0.13266895048271568,0.3232637807536593
Dorset and Somerset,UKK2,3785,565,150,5,85,10,50,85,155,550,35,620,75,40,885,40,135,40,15,10,10,135,45,75,50,125,200,145,0,140,1735,975,95,3610,7175,325,1490,210,615,765,175,145,845,295,945,1065,2485,2875,3150,465,770,775,3150,125,770,2820,320,290,980,550,295,75,3260,1780,2005,85,175,225,220,225,1610,1830,0.16759729977498122,0.2817734811234269
East Anglia,UKH1,5880,1140,200,5,185,20,155,155,340,965,70,1005,120,40,1475,80,240,60,65,25,40,230,75,115,85,190,270,155,30,195,3250,1580,495,6450,11950,490,2655,365,1310,1495,300,150,1535,525,2200,1975,4420,4430,5275,1060,1805,1195,6000,310,2990,5220,595,485,1530,1350,585,565,5035,3595,3465,115,355,490,390,375,3255,3035,0.1757992977268527,0.27333210127518015
East Wales,UKL2,2230,620,115,0,50,0,60,40,90,390,20,370,55,15,585,20,105,25,20,5,10,115,15,20,40,95,35,135,0,90,1830,780,110,2350,5550,440,1140,110,660,610,125,95,810,235,860,1145,2300,2305,1775,370,605,730,2365,255,1000,2110,275,160,700,545,145,95,2120,1250,1885,50,160,170,150,155,1295,1235,0.16311139840551606,0.29045464339581983
