geo_nm,geo_cd,construction_construction,construction_infrastructure,manufacture_aerospace,manufacture_armaments,manufacture_automotive,manufacture_casting,manufacture_chemical,manufacture_electrical,manufacture_electronics,manufacture_food,manufacture_footwear_leather,manufacture_furniture,manufacture_instruments,manufacture_light,manufacture_machinery_tools,manufacture_materials,manufacture_metal_equipment,manufacture_oils,manufacture_paper,manufacture_pesticides,manufacture_pharmaceuticals,manufacture_plastics,manufacture_rubber,manufacture_ships,manufacture_steel_metal,manufacture_textiles,primary_fishing,primary_forestry,primary_oil_gas,primary_quarrying_concrete,services_administrative,services_agricultural,services_air_transport,services_computing,services_consumer_retail,services_content,services_creative,services_cultural,services_education_post_primary,services_education_primary,services_electronics_machinery,services_energy,services_entertainment,services_environmental,services_facilities,services_financial_legal,services_health,services_hospitality,services_house_installation,services_human_resources,services_industrial_equipment,services_insurance_finance,services_kibs,services_land_transport,services_logistics,services_motor,services_passenger,services_printing,services_professional,services_public_administration,services_publishing,services_r_&_d,services_real_state,services_recreation,services_residential,services_sea_transport,services_security,services_telecommunications,services_textiles,services_travelling,services_utilities,services_wholesale,top_20_salary_share,bottom_20_salary_share
East Yorkshire and Northern Lincolnshire,UKE1,10175,1160,840,100,3710,295,2420,660,345,10270,85,8490,345,125,9435,430,5880,2250,1450,460,1700,5150,910,230,1400,490,6320,95,300,1865,5970,1945,2815,7705,52845,435,1085,840,9100,25900,355,975,3250,3770,5950,7525,31895,16150,6800,17550,3375,1535,5000,1375,13000,11050,3225,1925,2260,16365,335,215,6200,7930,25000,2535,1305,1095,1285,460,4950,5030,0.07806456505801755,0.3498622241322648
Eastern Scotland,UKM2,28000,2625,475,5,1625,230,1635,1735,7100,11750,150,6345,1085,85,8680,490,4285,2005,1230,435,1800,2175,1630,1680,775,3360,3435,1900,495,1410,13590,6800,4325,37475,114325,805,4300,7000,40350,44850,1410,6475,13925,5070,11900,38240,94650,56300,16250,24150,5550,24900,12375,4400,12000,24525,8150,2225,7575,55545,1975,7825,18300,32250,60000,1165,4775,8825,2400,5000,14300,12325,0.12758499462321118,0.3358011415336256
Essex,UKH3,25900,3630,1025,800,1650,75,1060,1020,3125,5930,90,4500,2285,215,9395,1075,3215,835,1150,100,25,3050,395,85,1505,930,710,125,0,1595,6275,5180,14350,24120,101975,875,9425,2150,16425,52675,1655,820,7325,8150,16600,15440,58300,32700,18500,18950,8625,14575,14625,2950,15000,28525,6850,3315,4145,19310,2370,3750,16350,14950,45000,1790,8225,1930,1785,1425,14925,17455,0.11214279397859994,0.3318436286213769
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,32150,3700,12600,800,7750,385,1130,3455,6920,10045,255,8250,2735,95,14385,840,7035,1310,2570,35,1750,4350,2425,230,1795,1800,1085,420,50,1800,13150,9560,4850,49725,139275,3320,10325,3600,35675,68225,2145,6650,13925,9775,27000,40950,109650,60500,21050,29150,14300,25380,26800,6550,24000,38850,8500,3895,8675,41325,5470,7100,30500,38530,64250,1300,6550,6850,2300,2700,26200,32745,0.14913976057527867,0.3144046318999444
Greater Manchester,UKD3,30050,5425,1100,600,3275,300,5520,2700,4825,13045,30,9050,1275,85,14295,745,5675,4100,2950,260,545,10800,1910,75,2510,6925,845,365,40,1130,28950,3930,17275,52000,158125,7640,6500,1650,38250,74700,1750,11965,19700,7290,32750,52200,113100,61480,20650,51300,17850,23735,28050,8300,34000,36750,12000,4875,7010,51075,2490,1125,36500,31065,59000,210,12225,10600,15075,4675,22150,43930,0.1229232200611404,0.3244207168490541
Hampshire and Isle of Wight,UKJ3,24600,3095,7500,350,1450,110,1405,2700,6815,4145,95,2370,4115,50,12285,600,3460,1865,1325,270,610,3750,1045,4800,910,1060,685,650,90,740,15000,5635,6780,40395,112875,1220,6925,3100,26150,54175,1875,3705,14225,4575,16650,22625,71700,45125,16100,25400,13450,16015,16750,2650,12000,29175,5500,2695,4505,25000,3765,7185,16450,25245,53500,5380,7750,8175,1670,2375,17450,19630,0.14529484008625326,0.3388835750952238
"Herefordshire, Worcestershire and Warwickshire",UKG1,17725,1815,1600,20,17450,205,1635,3210,3350,11660,150,4725,1510,120,11485,740,5200,1325,475,30,0,4750,1075,180,7780,1370,440,500,0,1285,13250,5300,3585,22125,76325,410,6050,2600,11175,39850,1960,4200,7725,3800,11350,14240,46725,23150,13400,18750,16375,7615,12400,2650,16000,25700,3050,1400,5720,16105,1480,2620,14500,16500,37200,335,1875,2570,925,1675,9125,13420,0.13036583451091222,0.3090281048830272
Highlands and Islands,UKM6,9795,660,30,0,10,0,25,50,155,2845,40,1695,40,120,2180,60,435,465,30,0,800,385,40,525,240,1265,6600,1220,260,960,2265,1820,1265,3575,27770,285,775,2350,3960,11820,345,1605,3030,1755,2075,2655,23145,19800,4375,2115,1425,905,785,920,2850,6560,2075,130,1200,12015,555,530,3765,8900,14400,1900,495,1125,125,1100,3610,1665,0.06732516423612729,0.4031356287564646
Inner London - East,UKI4,21825,4070,10,10,435,55,560,545,500,3435,475,1745,275,430,1450,455,290,135,240,0,65,235,70,0,180,2830,1310,140,85,435,27450,1425,4180,107575,111675,11750,22850,4500,39100,57050,2855,3755,27655,3760,51250,97775,103750,72400,10200,40300,3245,30300,68500,7900,2750,9970,19050,3775,35250,53525,22700,4450,39800,28750,57750,935,19750,13750,5380,6950,17325,22435,0.19304970945568964,0.30602229467379716
Inner London - West,UKI3,21750,2285,15,50,100,10,340,595,375,2840,360,1160,550,1320,4395,220,295,385,80,110,725,65,15,15,110,2370,540,200,1450,450,44900,1655,5610,136750,156650,52500,29300,9500,70750,29575,2175,12150,36300,1255,33700,218425,111700,148625,4700,88000,3145,133000,144000,9905,1750,7800,10450,2060,53000,86300,29925,9800,81750,40075,43250,1625,11475,17100,7925,12500,31120,44480,0.24513626387781084,0.2775859421058107
