,date_name,geography_name,geography_code,obs_value
0,2015,Black Country,E37000001,24174.0
2,2015,Buckinghamshire Thames Valley,E37000002,32343.0
4,2015,Cheshire and Warrington,E37000003,28191.0
6,2015,Coast to Capital,E37000004,30000.0
8,2015,Cornwall and Isles of Scilly,E37000005,23354.0
10,2015,Coventry and Warwickshire,E37000006,28000.0
12,2015,Cumbria,E37000007,26045.0
14,2015,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,25877.0
16,2015,Dorset,E37000009,26999.0
18,2015,Enterprise M3,E37000010,32993.0
20,2015,Gloucestershire,E37000011,27434.0
22,2015,Greater Birmingham and Solihull,E37000012,26062.0
24,2015,Greater Cambridge and Greater Peterborough,E37000042,
26,2015,Greater Lincolnshire,E37000014,24899.0
28,2015,Greater Manchester,E37000015,25484.0
30,2015,Heart of the South West,E37000016,24778.0
32,2015,Hertfordshire,E37000017,32433.0
34,2015,Humber,E37000018,24887.0
36,2015,Lancashire,E37000019,24564.0
38,2015,Leeds City Region,E37000020,25209.0
40,2015,Leicester and Leicestershire,E37000021,25199.0
42,2015,Liverpool City Region,E37000022,25834.0
44,2015,London,E37000023,33109.0
46,2015,New Anglia,E37000024,26000.0
48,2015,North East,E37000025,25143.0
50,2015,Oxfordshire,E37000027,30941.0
52,2015,Sheffield City Region,E37000040,25093.0
54,2015,Solent,E37000029,27764.0
56,2015,South East,E37000030,29631.0
58,2015,South East Midlands,E37000041,
60,2015,Stoke-on-Trent and Staffordshire,E37000032,25302.0
62,2015,Swindon and Wiltshire,E37000033,27431.0
64,2015,Tees Valley,E37000034,25386.0
66,2015,Thames Valley Berkshire,E37000035,32002.0
68,2015,The Marches,E37000036,24736.0
70,2015,West of England,E37000037,28401.0
72,2015,Worcestershire,E37000038,26454.0
74,2015,"York, North Yorkshire and East Riding",E37000039,26147.0
76,2016,Black Country,E37000001,24347.0
78,2016,Buckinghamshire Thames Valley,E37000002,32663.0
80,2016,Cheshire and Warrington,E37000003,28443.0
82,2016,Coast to Capital,E37000004,31066.0
84,2016,Cornwall and Isles of Scilly,E37000005,24654.0
86,2016,Coventry and Warwickshire,E37000006,28557.0
88,2016,Cumbria,E37000007,26999.0
90,2016,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,26856.0
92,2016,Dorset,E37000009,26656.0
94,2016,Enterprise M3,E37000010,33897.0
96,2016,Gloucestershire,E37000011,27941.0
98,2016,Greater Birmingham and Solihull,E37000012,26836.0
100,2016,Greater Cambridge and Greater Peterborough,E37000042,
102,2016,Greater Lincolnshire,E37000014,25425.0
104,2016,Greater Manchester,E37000015,25769.0
106,2016,Heart of the South West,E37000016,25310.0
108,2016,Hertfordshire,E37000017,33705.0
110,2016,Humber,E37000018,25773.0
112,2016,Lancashire,E37000019,25208.0
114,2016,Leeds City Region,E37000020,26105.0
116,2016,Leicester and Leicestershire,E37000021,26079.0
118,2016,Liverpool City Region,E37000022,26187.0
120,2016,London,E37000023,33694.0
122,2016,New Anglia,E37000024,26837.0
124,2016,North East,E37000025,25545.0
126,2016,Oxfordshire,E37000027,32121.0
128,2016,Sheffield City Region,E37000040,25534.0
130,2016,Solent,E37000029,27785.0
132,2016,South East,E37000030,29795.0
134,2016,South East Midlands,E37000041,29093.0
136,2016,Stoke-on-Trent and Staffordshire,E37000032,25998.0
138,2016,Swindon and Wiltshire,E37000033,27647.0
140,2016,Tees Valley,E37000034,26006.0
142,2016,Thames Valley Berkshire,E37000035,33054.0
