,year,nuts_2,occupation,gross_annual_salary_median,nuts_2_codes
0,2011,Tees Valley and Durham,"science, research, engineering and technology professionals",32961.0,UKC1
1,2011,Northumberland and Tyne and Wear,"science, research, engineering and technology professionals",35185.0,UKC2
2,2011,Cumbria,"science, research, engineering and technology professionals",40351.0,UKD1
3,2011,Cheshire,"science, research, engineering and technology professionals",37419.0,UKD6
4,2011,Greater Manchester,"science, research, engineering and technology professionals",36333.0,UKD3
5,2011,Lancashire,"science, research, engineering and technology professionals",32347.0,UKD4
6,2011,Merseyside,"science, research, engineering and technology professionals",34885.0,UKD7
7,2011,East Yorkshire and Northern Lincolnshire,"science, research, engineering and technology professionals",35426.0,UKE1
8,2011,North Yorkshire,"science, research, engineering and technology professionals",29719.0,UKE2
9,2011,South Yorkshire,"science, research, engineering and technology professionals",35069.0,UKE3
10,2011,West Yorkshire,"science, research, engineering and technology professionals",33878.0,UKE4
11,2011,Derbyshire and Nottinghamshire,"science, research, engineering and technology professionals",35216.0,UKF1
12,2011,"Leicestershire, Rutland and Northamptonshire","science, research, engineering and technology professionals",35077.0,UKF2
13,2011,Lincolnshire,"science, research, engineering and technology professionals",34366.0,UKF3
14,2011,"Herefordshire, Worcestershire and Warwickshire","science, research, engineering and technology professionals",35676.0,UKG1
15,2011,Shropshire and Staffordshire,"science, research, engineering and technology professionals",33209.0,UKG2
16,2011,West Midlands,"science, research, engineering and technology professionals",35918.0,UKG3
17,2011,East Anglia,"science, research, engineering and technology professionals",35092.0,UKH1
18,2011,Bedfordshire and Hertfordshire,"science, research, engineering and technology professionals",40000.0,UKH2
19,2011,Essex,"science, research, engineering and technology professionals",41090.0,UKH3
20,2011,Inner London,"science, research, engineering and technology professionals",45000.0,
21,2011,Outer London,"science, research, engineering and technology professionals",39790.0,
22,2011,"Berkshire, Buckinghamshire and Oxfordshire","science, research, engineering and technology professionals",43753.0,UKJ1
23,2011,"Surrey, East and West Sussex","science, research, engineering and technology professionals",40107.0,UKJ2
24,2011,Hampshire and Isle of Wight,"science, research, engineering and technology professionals",38887.0,UKJ3
25,2011,Kent,"science, research, engineering and technology professionals",35564.0,UKJ4
26,2011,"Gloucestershire, Wiltshire and North Somerset","science, research, engineering and technology professionals",38557.0,
