year,nuts_id,nuts_year_spec,total_gtr_projects_stem
2010,UKC1,2010,4060704
2011,UKC1,2010,526520
2012,UKC1,2010,705429
2013,UKC1,2013,4479139
2014,UKC1,2013,1997993
2015,UKC1,2013,2753711
2016,UKC1,2016,1741908
2017,UKC1,2016,2961818
2018,UKC1,2016,15855104
2010,UKC2,2010,11473791
2011,UKC2,2010,20413179
2012,UKC2,2010,17003911
2013,UKC2,2013,30848677
2014,UKC2,2013,24029195
2015,UKC2,2013,18132939
2016,UKC2,2016,63267834
2017,UKC2,2016,40175196
2018,UKC2,2016,39961833
2011,UKD1,2010,915822
2012,UKD1,2010,1555926
2013,UKD1,2013,529164
2014,UKD1,2013,823784
2015,UKD1,2013,1333769
2016,UKD1,2016,0
2017,UKD1,2016,1275776
2018,UKD1,2016,3041409
2010,UKD3,2010,38526427
2011,UKD3,2010,35997290
2012,UKD3,2010,99052348
2013,UKD3,2013,50059321
2014,UKD3,2013,68690102
2015,UKD3,2013,50794455
2016,UKD3,2016,219163605
2017,UKD3,2016,94078753
2018,UKD3,2016,51988913
2010,UKD4,2010,11978538
2011,UKD4,2010,4486612
2012,UKD4,2010,8654068
2013,UKD4,2013,16587485
2014,UKD4,2013,8036481
2015,UKD4,2013,27913729
2016,UKD4,2016,20247459
2017,UKD4,2016,22787348
2018,UKD4,2016,17134058
2010,UKD6,2010,699804
2011,UKD6,2010,399104
2012,UKD6,2010,3772176
2013,UKD6,2013,2522125
2014,UKD6,2013,2628844
2015,UKD6,2013,3816288
2016,UKD6,2016,971216
2017,UKD6,2016,5825626
2018,UKD6,2016,6861406
2010,UKD7,2010,1878819
2011,UKD7,2010,3129836
2012,UKD7,2010,3796842
2013,UKD7,2013,3473223
2014,UKD7,2013,6226727
2015,UKD7,2013,5480189
2016,UKD7,2016,2562660
2017,UKD7,2016,6505102
2018,UKD7,2016,6446180
2010,UKE1,2010,1661630
2011,UKE1,2010,3975141
2012,UKE1,2010,2023505
2013,UKE1,2013,1485122
2014,UKE1,2013,3607365
2015,UKE1,2013,4251295
2016,UKE1,2016,1130441
2017,UKE1,2016,1550948
2018,UKE1,2016,3722410
2010,UKE2,2010,9055519
2011,UKE2,2010,6862189
2012,UKE2,2010,11718241
2013,UKE2,2013,14705411
2014,UKE2,2013,56269668
2015,UKE2,2013,24846159
2016,UKE2,2016,16792253
2017,UKE2,2016,17232664
2018,UKE2,2016,23587973
2010,UKE3,2010,31174006
2011,UKE3,2010,35587864
2012,UKE3,2010,38031232
2013,UKE3,2013,37069950
2014,UKE3,2013,32565434
2015,UKE3,2013,34113133
2016,UKE3,2016,89186865
2017,UKE3,2016,47939159
2018,UKE3,2016,45499883
2010,UKE4,2010,36792817
2011,UKE4,2010,30235638
2012,UKE4,2010,28063091
2013,UKE4,2013,26557908
2014,UKE4,2013,48483848
2015,UKE4,2013,35690706
2016,UKE4,2016,37841463
2017,UKE4,2016,72877203
2018,UKE4,2016,85423609
2010,UKF1,2010,19270458
2011,UKF1,2010,29502216
2012,UKF1,2010,47319286
2013,UKF1,2013,55413328
2014,UKF1,2013,57045386
2015,UKF1,2013,35456745
2016,UKF1,2016,45141360
2017,UKF1,2016,69243927
2018,UKF1,2016,40648414
2010,UKF2,2010,38473520
2011,UKF2,2010,18493969
2012,UKF2,2010,23325010
2013,UKF2,2013,37627387
2014,UKF2,2013,28171210
