year,nuts_id,nuts_year_spec,gbp_venture_capital_received
2010,UKC1,2010,13870000
2011,UKC1,2010,2836118
2012,UKC1,2010,10000000
2013,UKC1,2013,19031230
2014,UKC1,2013,35292594
2015,UKC1,2013,92000000
2016,UKC1,2016,6700000
2017,UKC1,2016,83250000
2018,UKC1,2016,151000000
2019,UKC1,2016,3700000
2010,UKC2,2010,6200000
2011,UKC2,2010,32220198
2012,UKC2,2010,9025000
2013,UKC2,2013,5210708
2014,UKC2,2013,15833846
2015,UKC2,2013,17584000
2016,UKC2,2016,13883880
2017,UKC2,2016,4364000
2018,UKC2,2016,22415458
2019,UKC2,2016,14400000
2010,UKD1,2010,0
2012,UKD1,2010,0
2013,UKD1,2013,574500
2014,UKD1,2013,0
2016,UKD1,2016,0
2017,UKD1,2016,0
2018,UKD1,2016,0
2019,UKD1,2016,0
2010,UKD3,2010,2000000
2011,UKD3,2010,13195500
2012,UKD3,2010,20523000
2013,UKD3,2013,10600000
2014,UKD3,2013,24600000
2015,UKD3,2013,66000000
2016,UKD3,2016,82850000
2017,UKD3,2016,344650000
2018,UKD3,2016,56676627
2019,UKD3,2016,55000000
2011,UKD4,2010,67000
2012,UKD4,2010,1250000
2013,UKD4,2013,0
2014,UKD4,2013,300000
2015,UKD4,2013,1900000
2016,UKD4,2016,8000000
2017,UKD4,2016,12500000
2018,UKD4,2016,4520000
2019,UKD4,2016,2000000
2010,UKD6,2010,16900000
2011,UKD6,2010,0
2012,UKD6,2010,9595000
2013,UKD6,2013,2390000
2014,UKD6,2013,10085478
2015,UKD6,2013,200000
2016,UKD6,2016,32573250
2017,UKD6,2016,43000000
2018,UKD6,2016,50268650
2019,UKD6,2016,94484200
2010,UKD7,2010,0
2011,UKD7,2010,8670543
2012,UKD7,2010,9075000
2013,UKD7,2013,6650000
2014,UKD7,2013,5580004
2015,UKD7,2013,4000000
2016,UKD7,2016,3440000
2017,UKD7,2016,10150000
2018,UKD7,2016,9950000
2019,UKD7,2016,17800000
2010,UKE1,2010,0
2012,UKE1,2010,0
2013,UKE1,2013,0
2014,UKE1,2013,0
2015,UKE1,2013,0
2016,UKE1,2016,5000000
2017,UKE1,2016,450000
2018,UKE1,2016,0
2019,UKE1,2016,0
2010,UKE2,2010,1453825
2011,UKE2,2010,0
2012,UKE2,2010,3546000
2013,UKE2,2013,10000000
2014,UKE2,2013,2100000
2015,UKE2,2013,3000000
2016,UKE2,2016,3000000
2017,UKE2,2016,6450000
