year,nuts_id,nuts_year_spec,gbp_investment_per_active_spinoff
2014,UKC1,2013,57725
2015,UKC1,2013,28681
2016,UKC1,2016,66490
2017,UKC1,2016,57112
2014,UKC2,2013,9249
2015,UKC2,2013,15735
2016,UKC2,2016,21168
2017,UKC2,2016,44491
2014,UKD1,2013,142
2015,UKD1,2013,1069
2016,UKD1,2016,0
2017,UKD1,2016,91
2014,UKD3,2013,119433
2015,UKD3,2013,146716
2016,UKD3,2016,96621
2017,UKD3,2016,65775
2014,UKD4,2013,6747
2015,UKD4,2013,7573
2016,UKD4,2016,2474
2017,UKD4,2016,2414
2014,UKD6,2013,0
2015,UKD6,2013,0
2016,UKD6,2016,0
2017,UKD6,2016,0
2014,UKD7,2013,1441
2015,UKD7,2013,1361
2016,UKD7,2016,790
2017,UKD7,2016,287
2014,UKE1,2013,1048
2015,UKE1,2013,4811
2016,UKE1,2016,0
2017,UKE1,2016,0
2014,UKE2,2013,6481
2015,UKE2,2013,1282
2016,UKE2,2016,36225
2017,UKE2,2016,7432
2014,UKE3,2013,0
2015,UKE3,2013,0
2016,UKE3,2016,0
2017,UKE3,2016,0
2014,UKE4,2013,126369
2015,UKE4,2013,168320
2016,UKE4,2016,129248
2017,UKE4,2016,206205
2014,UKF1,2013,10992
2015,UKF1,2013,47586
2016,UKF1,2016,14310
2017,UKF1,2016,49659
2014,UKF2,2013,6881
2015,UKF2,2013,1941887
2016,UKF2,2016,10411
2017,UKF2,2016,4665
2014,UKF3,2013,2500
2015,UKF3,2013,728
2016,UKF3,2016,161
2017,UKF3,2016,623
2014,UKG1,2013,0
2015,UKG1,2013,0
2016,UKG1,2016,0
2017,UKG1,2016,0
2014,UKG2,2013,523
2015,UKG2,2013,1209
2016,UKG2,2016,147
2017,UKG2,2016,69
2014,UKG3,2013,74205
2015,UKG3,2013,45539
2016,UKG3,2016,42521
2017,UKG3,2016,79876
2014,UKH1,2013,89132
2015,UKH1,2013,125888
2016,UKH1,2016,80886
2017,UKH1,2016,24581
2014,UKH2,2013,2585
2015,UKH2,2013,3301
2016,UKH2,2016,2750
2017,UKH2,2016,2927
2014,UKH3,2013,87500
2015,UKH3,2013,57812
2016,UKH3,2016,144687
2017,UKH3,2016,10364
2014,UKI3,2013,352533
2015,UKI3,2013,256077
2016,UKI3,2016,187830
2017,UKI3,2016,353818
2014,UKI4,2013,106748
2015,UKI4,2013,106462
2016,UKI4,2016,99603
2017,UKI4,2016,58751
2014,UKI5,2013,4473
2015,UKI5,2013,2000
2016,UKI5,2016,62500
2017,UKI5,2016,71142
2014,UKI6,2013,125
2015,UKI6,2013,68
2016,UKI6,2016,0
2017,UKI6,2016,0
2014,UKI7,2013,0
2015,UKI7,2013,0
2016,UKI7,2016,0
2017,UKI7,2016,0
2014,UKJ1,2013,417995
2015,UKJ1,2013,798449
2016,UKJ1,2016,1471386
2017,UKJ1,2016,1528058
2014,UKJ2,2013,9066
2015,UKJ2,2013,15139
2016,UKJ2,2016,25900
2017,UKJ2,2016,106352
2014,UKJ3,2013,10052
2015,UKJ3,2013,23170
2016,UKJ3,2016,20900
2017,UKJ3,2016,14675
2014,UKJ4,2013,40697
2015,UKJ4,2013,377
2016,UKJ4,2016,1838
2017,UKJ4,2016,0
2014,UKK1,2013,198960
2015,UKK1,2013,171387
2016,UKK1,2016,140337
2017,UKK1,2016,157064
2014,UKK2,2013,0
2015,UKK2,2013,0
2016,UKK2,2016,0
2017,UKK2,2016,0
2014,UKK3,2013,0
2015,UKK3,2013,210
2016,UKK3,2016,1612
2017,UKK3,2016,78
2014,UKK4,2013,76
2015,UKK4,2013,14333
2016,UKK4,2016,24816
2017,UKK4,2016,46173
2014,UKL1,2013,6968
2015,UKL1,2013,12065
2016,UKL1,2016,18833
2017,UKL1,2016,7212
2014,UKL2,2013,15285
2015,UKL2,2013,6250
2016,UKL2,2016,9629
2017,UKL2,2016,13386
2014,UKM5,2013,3473242
2015,UKM5,2013,808772
2016,UKM5,2016,1155253
2017,UKM5,2016,292500
2014,UKM6,2013,0
2015,UKM6,2013,0
2016,UKM6,2016,0
2017,UKM6,2016,0
2014,UKM7,2013,485658
2015,UKM7,2013,34123
2016,UKM7,2016,67451
2017,UKM7,2016,82322
2014,UKM8,2013,361590
2015,UKM8,2013,872618
2016,UKM8,2016,13209
2017,UKM8,2016,55548
2014,UKN0,2013,1096746
2015,UKN0,2013,1298194
2016,UKN0,2016,1484070
2017,UKN0,2016,1664044
