year,nuts_id,nuts_year_spec,gbp_research_income
2015,UKC1,2013,80683000.0
2016,UKC1,2016,82507000.0
2017,UKC1,2016,81711000.0
2015,UKC2,2013,159301000.0
2016,UKC2,2016,156938000.0
2017,UKC2,2016,159548000.0
2015,UKD1,2013,531000.0
2016,UKD1,2016,610000.0
2017,UKD1,2016,806000.0
2015,UKD3,2013,366059000.0
2016,UKD3,2016,356437000.0
2017,UKD3,2016,395175000.0
2015,UKD4,2013,68615000.0
2016,UKD4,2016,69457000.0
2017,UKD4,2016,73138000.0
2015,UKD6,2013,2814000.0
2016,UKD6,2016,2216000.0
2017,UKD6,2016,3889000.0
2015,UKD7,2013,138197000.0
2016,UKD7,2016,139186000.0
2017,UKD7,2016,138946000.0
2015,UKE1,2013,19625000.0
2016,UKE1,2016,18130000.0
2017,UKE1,2016,17674000.0
2015,UKE2,2013,88137000.0
2016,UKE2,2016,89641000.0
2017,UKE2,2016,94978000.0
2015,UKE3,2013,223692000.0
2016,UKE3,2016,211595000.0
2017,UKE3,2016,252755000.0
2015,UKE4,2013,202427000.0
2016,UKE4,2016,207754000.0
2017,UKE4,2016,215892000.0
2015,UKF1,2013,185892000.0
2016,UKF1,2016,186900000.0
2017,UKF1,2016,184596000.0
2015,UKF2,2013,137591000.0
2016,UKF2,2016,142779000.0
2017,UKF2,2016,145477000.0
2015,UKF3,2013,9490000.0
2016,UKF3,2016,12243000.0
2017,UKF3,2016,12076000.0
2015,UKG1,2013,1957000.0
2016,UKG1,2016,2267000.0
2017,UKG1,2016,1966000.0
2015,UKG2,2013,29555000.0
2016,UKG2,2016,31308000.0
2017,UKG2,2016,30215000.0
2015,UKG3,2013,369578000.0
2016,UKG3,2016,370176000.0
2017,UKG3,2016,385036000.0
2015,UKH1,2013,640478000.0
2016,UKH1,2016,639792000.0
2017,UKH1,2016,709098000.0
2015,UKH2,2013,68415000.0
2016,UKH2,2016,65938000.0
2017,UKH2,2016,66830000.0
2015,UKH3,2013,40841000.0
2016,UKH3,2016,46709000.0
2017,UKH3,2016,46409000.0
2015,UKI3,2013,1717932000.0
2016,UKI3,2016,1676658000.0
2017,UKI3,2016,1734826000.0
2015,UKI4,2013,177982000.0
2016,UKI4,2016,185335000.0
2017,UKI4,2016,181832000.0
2015,UKI5,2013,18483000.0
2016,UKI5,2016,16536000.0
2017,UKI5,2016,17768000.0
2015,UKI6,2013,6928000.0
2016,UKI6,2016,7020000.0
2017,UKI6,2016,7618000.0
2015,UKI7,2013,45126000.0
2016,UKI7,2016,44020000.0
2017,UKI7,2016,46383000.0
2015,UKJ1,2013,760879000.0
2016,UKJ1,2016,794974000.0
2017,UKJ1,2016,811415000.0
2015,UKJ2,2013,147798000.0
2016,UKJ2,2016,148239000.0
2017,UKJ2,2016,151171000.0
2015,UKJ3,2013,171735000.0
2016,UKJ3,2016,198069000.0
2017,UKJ3,2016,179262000.0
2015,UKJ4,2013,34206000.0
2016,UKJ4,2016,33314000.0
2017,UKJ4,2016,36435000.0
2015,UKK1,2013,270268000.0
2016,UKK1,2016,281073000.0
2017,UKK1,2016,293882000.0
2015,UKK2,2013,7807000.0
2016,UKK2,2016,7317000.0
2017,UKK2,2016,8314000.0
2015,UKK3,2013,896000.0
2016,UKK3,2016,1179000.0
2017,UKK3,2016,1303000.0
2015,UKK4,2013,106993000.0
2016,UKK4,2016,116385000.0
2017,UKK4,2016,121483000.0
2015,UKL1,2013,117591000.0
2016,UKL1,2016,116378000.0
2017,UKL1,2016,125192000.0
2015,UKL2,2013,161482000.0
2016,UKL2,2016,147422000.0
2017,UKL2,2016,143736000.0
2015,UKM2,2013,624077000.0
2015,UKM3,2013,336887000.0
2015,UKM5,2013,92576000.0
2016,UKM5,2016,88492000.0
2017,UKM5,2016,82919000.0
2015,UKM6,2013,15683000.0
2016,UKM6,2016,17464000.0
2017,UKM6,2016,21203000.0
2016,UKM7,2016,602900000.0
2017,UKM7,2016,621616000.0
2016,UKM8,2016,344017000.0
2017,UKM8,2016,349199000.0
2015,UKN0,2013,144340000.0
2016,UKN0,2016,151403000.0
2017,UKN0,2016,167000000.0
