year,nuts_id,nuts_year_spec,total_inventions
2016,UKK2,2013,83
2016,UKK3,2013,15
2016,UKK4,2013,42
2016,UKL1,2013,90
2016,UKL2,2013,102
2016,UKM2,2013,195
2016,UKM3,2013,99
2016,UKM5,2013,82
2016,UKM6,2013,30
2016,UKN0,2013,91
2017,UKC1,2013,32
2017,UKC2,2013,77
2017,UKD1,2013,14
2017,UKD3,2013,68
2017,UKD4,2013,70
2017,UKD6,2013,59
2017,UKD7,2013,81
2017,UKE1,2013,13
2017,UKE2,2013,38
2017,UKE3,2013,21
2017,UKE4,2013,37
2017,UKF1,2013,257
2017,UKF2,2013,34
2017,UKF3,2013,37
2017,UKG1,2013,79
2017,UKG2,2013,46
2017,UKG3,2013,69
2017,UKH1,2013,292
2017,UKH2,2013,112
2017,UKH3,2013,70
2017,UKI3,2013,179
2017,UKI4,2013,101
2017,UKI5,2013,43
2017,UKI6,2013,21
2017,UKI7,2013,77
2017,UKJ1,2013,290
2017,UKJ2,2013,281
2017,UKJ3,2013,179
2017,UKJ4,2013,76
2017,UKK1,2013,217
2017,UKK2,2013,57
2017,UKK3,2013,10
2017,UKK4,2013,19
2017,UKL1,2013,45
2017,UKL2,2013,49
2017,UKM2,2013,117
2017,UKM3,2013,32
2017,UKM5,2013,31
2017,UKM6,2013,5
2017,UKN0,2013,46
2018,UKC1,2013,18
2018,UKC2,2013,105
2018,UKD1,2013,3
2018,UKD3,2013,16
2018,UKD4,2013,6
2018,UKD6,2013,22
2018,UKD7,2013,14
2018,UKE1,2013,4
2018,UKE2,2013,9
2018,UKE3,2013,3
2018,UKE4,2013,15
2018,UKF1,2013,139
2018,UKF2,2013,27
2018,UKF3,2013,27
2018,UKG1,2013,34
2018,UKG2,2013,57
2018,UKG3,2013,23
2018,UKH1,2013,90
2018,UKH2,2013,23
2018,UKH3,2013,20
2018,UKI3,2013,42
2018,UKI4,2013,18
2018,UKI5,2013,6
2018,UKI6,2013,9
2018,UKI7,2013,26
2018,UKJ1,2013,67
2018,UKJ2,2013,161
2018,UKJ3,2013,47
2018,UKJ4,2013,16
2018,UKK1,2013,61
2018,UKK2,2013,9
2018,UKK3,2013,4
2018,UKK4,2013,21
2018,UKL1,2013,6
2018,UKL2,2013,11
2018,UKM2,2013,39
2018,UKM3,2013,4
2018,UKM5,2013,5
2018,UKM6,2013,1
2018,UKN0,2013,16
