year,nuts_id,nuts_year_spec,total_stem_postgraduates
2014,UKC1,2013,575.0
2015,UKC1,2013,570.0
2016,UKC1,2016,595.0
2017,UKC1,2016,640.0
2018,UKC1,2016,650.0
2014,UKC2,2013,1010.0
2015,UKC2,2013,1045.0
2016,UKC2,2016,1040.0
2017,UKC2,2016,1015.0
2018,UKC2,2016,1030.0
2014,UKD1,2013,5.0
2015,UKD1,2013,10.0
2016,UKD1,2016,5.0
2017,UKD1,2016,10.0
2018,UKD1,2016,5.0
2014,UKD3,2013,2330.0
2015,UKD3,2013,2345.0
2016,UKD3,2016,2385.0
2017,UKD3,2016,2600.0
2018,UKD3,2016,2710.0
2014,UKD4,2013,655.0
2015,UKD4,2013,620.0
2016,UKD4,2016,620.0
2017,UKD4,2016,690.0
2018,UKD4,2016,695.0
2014,UKD6,2013,30.0
2015,UKD6,2013,30.0
2016,UKD6,2016,40.0
2017,UKD6,2016,50.0
2018,UKD6,2016,50.0
2014,UKD7,2013,1010.0
2015,UKD7,2013,970.0
2016,UKD7,2016,1065.0
2017,UKD7,2016,1155.0
2018,UKD7,2016,1210.0
2014,UKE1,2013,240.0
2015,UKE1,2013,240.0
2016,UKE1,2016,215.0
2017,UKE1,2016,185.0
2018,UKE1,2016,235.0
2014,UKE2,2013,670.0
2015,UKE2,2013,670.0
2016,UKE2,2016,655.0
2017,UKE2,2016,650.0
2018,UKE2,2016,675.0
2014,UKE3,2013,1530.0
2015,UKE3,2013,1520.0
2016,UKE3,2016,1460.0
2017,UKE3,2016,1425.0
2018,UKE3,2016,1410.0
2014,UKE4,2013,1585.0
2015,UKE4,2013,1615.0
2016,UKE4,2016,1600.0
2017,UKE4,2016,1660.0
2018,UKE4,2016,1695.0
2014,UKF1,2013,1550.0
2015,UKF1,2013,1615.0
2016,UKF1,2016,1620.0
2017,UKF1,2016,1570.0
2018,UKF1,2016,1580.0
2014,UKF2,2013,1260.0
2015,UKF2,2013,1280.0
2016,UKF2,2016,1195.0
2017,UKF2,2016,1100.0
2018,UKF2,2016,1170.0
2014,UKF3,2013,115.0
2015,UKF3,2013,140.0
2016,UKF3,2016,155.0
2017,UKF3,2016,150.0
2018,UKF3,2016,160.0
2014,UKG1,2013,0.0
2015,UKG1,2013,15.0
2016,UKG1,2016,20.0
2017,UKG1,2016,20.0
2018,UKG1,2016,25.0
2014,UKG2,2013,200.0
2015,UKG2,2013,185.0
2016,UKG2,2016,210.0
2017,UKG2,2016,160.0
2018,UKG2,2016,155.0
2014,UKG3,2013,2415.0
2015,UKG3,2013,2430.0
2016,UKG3,2016,2455.0
2017,UKG3,2016,2525.0
2018,UKG3,2016,2660.0
2014,UKH1,2013,2915.0
2015,UKH1,2013,2870.0
2016,UKH1,2016,2915.0
2017,UKH1,2016,2945.0
2018,UKH1,2016,3045.0
2014,UKH2,2013,760.0
2015,UKH2,2013,710.0
2016,UKH2,2016,655.0
2017,UKH2,2016,665.0
2018,UKH2,2016,635.0
2014,UKH3,2013,330.0
2015,UKH3,2013,335.0
2016,UKH3,2016,280.0
2017,UKH3,2016,335.0
2018,UKH3,2016,375.0
2014,UKI3,2013,5205.0
2015,UKI3,2013,5425.0
2016,UKI3,2016,5730.0
2017,UKI3,2016,5825.0
2018,UKI3,2016,6190.0
2014,UKI4,2013,1105.0
2015,UKI4,2013,1070.0
2016,UKI4,2016,1050.0
2017,UKI4,2016,1010.0
2018,UKI4,2016,1025.0
2014,UKI5,2013,135.0
2015,UKI5,2013,150.0
2016,UKI5,2016,130.0
2017,UKI5,2016,125.0
2018,UKI5,2016,110.0
2014,UKI6,2013,95.0
2015,UKI6,2013,100.0
2016,UKI6,2016,100.0
2017,UKI6,2016,75.0
2018,UKI6,2016,70.0
2014,UKI7,2013,615.0
2015,UKI7,2013,545.0
2016,UKI7,2016,470.0
2017,UKI7,2016,465.0
2018,UKI7,2016,530.0
2014,UKJ1,2013,2765.0
2015,UKJ1,2013,2990.0
2016,UKJ1,2016,2940.0
2017,UKJ1,2016,2790.0
2018,UKJ1,2016,2830.0
2014,UKJ2,2013,1385.0
2015,UKJ2,2013,1370.0
2016,UKJ2,2016,1295.0
2017,UKJ2,2016,1220.0
2018,UKJ2,2016,1240.0
2014,UKJ3,2013,1625.0
2015,UKJ3,2013,1600.0
2016,UKJ3,2016,1560.0
2017,UKJ3,2016,1520.0
2018,UKJ3,2016,1480.0
2014,UKJ4,2013,530.0
2015,UKJ4,2013,530.0
2016,UKJ4,2016,550.0
2017,UKJ4,2016,530.0
2018,UKJ4,2016,560.0
2014,UKK1,2013,1750.0
2015,UKK1,2013,1755.0
2016,UKK1,2016,1885.0
2017,UKK1,2016,1925.0
2018,UKK1,2016,1950.0
2014,UKK2,2013,155.0
2015,UKK2,2013,15.0
