year,nuts_id,nuts_year_spec,gbp_business_contract_research
2014,UKC1,2013,5623000
2015,UKC1,2013,6029000
2016,UKC1,2016,5311000
2017,UKC1,2016,3917000
2014,UKC2,2013,23432000
2015,UKC2,2013,25006000
2016,UKC2,2016,24707000
2017,UKC2,2016,23311000
2014,UKD1,2013,176000
2015,UKD1,2013,140000
2016,UKD1,2016,221000
2017,UKD1,2016,278000
2014,UKD3,2013,33923000
2015,UKD3,2013,33725000
2016,UKD3,2016,32423000
2017,UKD3,2016,33312000
2014,UKD4,2013,15719000
2015,UKD4,2013,12240000
2016,UKD4,2016,10359000
2017,UKD4,2016,11052000
2014,UKD6,2013,759000
2015,UKD6,2013,615000
2016,UKD6,2016,388000
2017,UKD6,2016,256000
2014,UKD7,2013,19150000
2015,UKD7,2013,18051000
2016,UKD7,2016,18378000
2017,UKD7,2016,19411000
2014,UKE1,2013,3495000
2015,UKE1,2013,2625000
2016,UKE1,2016,2865000
2017,UKE1,2016,1473000
2014,UKE2,2013,14292000
2015,UKE2,2013,13503000
2016,UKE2,2016,14471000
2017,UKE2,2016,14672000
2014,UKE3,2013,26006000
2015,UKE3,2013,24065000
2016,UKE3,2016,34727000
2017,UKE3,2016,40690000
2014,UKE4,2013,46519000
2015,UKE4,2013,38533000
2016,UKE4,2016,42642000
2017,UKE4,2016,47653000
2014,UKF1,2013,9620000
2015,UKF1,2013,19087000
2016,UKF1,2016,21532000
2017,UKF1,2016,26516000
2014,UKF2,2013,14030000
2015,UKF2,2013,15822000
2016,UKF2,2016,15761000
2017,UKF2,2016,12137000
2014,UKF3,2013,2066000
2015,UKF3,2013,3312000
2016,UKF3,2016,3302000
2017,UKF3,2016,5100000
2014,UKG1,2013,244000
2015,UKG1,2013,472000
2016,UKG1,2016,628000
2017,UKG1,2016,296000
2014,UKG2,2013,2493000
2015,UKG2,2013,2093000
2016,UKG2,2016,3491000
2017,UKG2,2016,3859000
2014,UKG3,2013,55074000
2015,UKG3,2013,56086000
2016,UKG3,2016,52269000
2017,UKG3,2016,57493000
2014,UKH1,2013,12589000
2015,UKH1,2013,11971000
2016,UKH1,2016,11332000
2017,UKH1,2016,8513000
2014,UKH2,2013,9862000
2015,UKH2,2013,8915000
2016,UKH2,2016,8686000
2017,UKH2,2016,8863000
2014,UKH3,2013,21786000
2015,UKH3,2013,22122000
2016,UKH3,2016,21038000
2017,UKH3,2016,14715000
2014,UKI3,2013,173093000
2015,UKI3,2013,177940000
2016,UKI3,2016,181731000
2017,UKI3,2016,148514000
2014,UKI4,2013,5085000
2015,UKI4,2013,4530000
2016,UKI4,2016,4758000
2017,UKI4,2016,5816000
2014,UKI5,2013,8087000
2015,UKI5,2013,10284000
2016,UKI5,2016,7512000
2017,UKI5,2016,8108000
2014,UKI6,2013,171000
2015,UKI6,2013,110000
2016,UKI6,2016,203000
2017,UKI6,2016,503000
2014,UKI7,2013,2754000
2015,UKI7,2013,2837000
2016,UKI7,2016,4420000
2017,UKI7,2016,4524000
2014,UKJ1,2013,94108000
2015,UKJ1,2013,108865000
2016,UKJ1,2016,119470000
2017,UKJ1,2016,115888000
2014,UKJ2,2013,17935000
2015,UKJ2,2013,18909000
2016,UKJ2,2016,18623000
2017,UKJ2,2016,20457000
2014,UKJ3,2013,18732000
2015,UKJ3,2013,19182000
2016,UKJ3,2016,22067000
2017,UKJ3,2016,22681000
2014,UKJ4,2013,3700000
2015,UKJ4,2013,3488000
2016,UKJ4,2016,2184000
2017,UKJ4,2016,3527000
2014,UKK1,2013,35492000
2015,UKK1,2013,41318000
2016,UKK1,2016,46086000
2017,UKK1,2016,51482000
2014,UKK2,2013,949000
2015,UKK2,2013,1580000
2016,UKK2,2016,729000
2017,UKK2,2016,919000
2014,UKK3,2013,57000
2015,UKK3,2013,15000
2016,UKK3,2016,8000
2017,UKK3,2016,1000
2014,UKK4,2013,20632000
2015,UKK4,2013,15008000
2016,UKK4,2016,14354000
2017,UKK4,2016,17304000
2014,UKL1,2013,10409000
2015,UKL1,2013,8140000
2016,UKL1,2016,8251000
2017,UKL1,2016,6784000
2014,UKL2,2013,3518000
2015,UKL2,2013,2872000
2016,UKL2,2016,3477000
2017,UKL2,2016,4047000
2014,UKM2,2013,30109000
2015,UKM2,2013,34026000
2014,UKM3,2013,32924000
2015,UKM3,2013,31200000
2014,UKM5,2013,4047000
2015,UKM5,2013,3277000
2016,UKM5,2016,2637000
2017,UKM5,2016,2084000
2014,UKM6,2013,3141000
2015,UKM6,2013,3053000
2016,UKM6,2016,3107000
2017,UKM6,2016,3697000
2016,UKM7,2016,35573000
2017,UKM7,2016,34585000
2016,UKM8,2016,31088000
2017,UKM8,2016,29834000
2014,UKN0,2013,19175000
2015,UKN0,2013,18690000
2016,UKN0,2016,25182000
2017,UKN0,2016,34867000
